Date,Title,Lang,URL,Title_en
2015-03-02 18:45:00,"Transition énergétique: le rapport critique de l""Académie des Sciences",fra,http://www.energymed.eu/2015/03/02/transition-energetique-le-rapport-critique-de-lacademie-des-sciences/,"Energy transition: the critical report of the ""Academy of Sciences"
2015-03-03 10:00:00,Fasopresse: L'actualité du Burkina Faso,fra,http://www.fasopresse.net/index.php?start=45&5e90491fecb379c63acce1d6f2f74023=eec84305a3a69f00ec5f4c57f43064ca,Fasopress: Burkina Faso news
2015-03-03 18:30:00,Cambio climático influyó en desatar conflicto en Siria: estudio,spa,http://ntrzacatecas.com/2015/03/03/cambio-climatico-influyo-en-desatar-conflicto-en-siria-estudio/,Climate change influenced unleashed conflict in Syria: study
2015-03-04 09:45:00,B92 - ivot - Komentari,srp,http://www.b92.net/zivot/komentari.php?nav_id=964212,B92 - Ivot - Komentari
2015-03-04 19:00:00,"Países africanos pedem ""dinheiro"" e ""conhecimentos"" contra mudança climática",por,http://www.ultimoinstante.com.br/ultimas-noticias/noticias-ciencia/paises-africanos-pedem-dinheiro-e-conhecimentos-contra-mudanca-climatica/66311/,"African countries ask for ""money"" and ""knowledge"" against climate change"
2015-03-05 08:45:00,"진주시, 월동모기와 �� 충구� � 방역으로 감염병 예방",kor,http://www.newsway.kr/view.php?tp=1&ud=2015030516560150749,"Jinju -si, winter mosquitoes and wol -dong mosquitoes and prevention of infectious diseases"
2015-03-05 18:00:00,Visita de EPN a RU fortalecio los de amistad,spa,http://lasillarota.com/visita-de-epn-a-ru-fortalecio-los-de-amistad,EPN visit to RU Strengthen those of friendship
2015-03-06 13:30:00,Agenzia Nova | Articolo,ita,http://www.agenzianova.com/a/54f9a8525ffc58.72960185/939368/2015-03-06/speciale-energia-greenpeace-chiede-al-giappone-di-sostituire-l-energia-nucleare-con-fonti-rinnovabili,Nova Agency | Item
2015-03-07 01:30:00,Nevado del Ruiz: el deshielo de los nevados en Colombia - Ciencia,spa,http://www.eltiempo.com/estilo-de-vida/ciencia/nevado-del-ruiz-el-deshielo-de-los-nevados-en-colombia/15352275,Nevado del Ruiz: The thaw of snowfalls in Colombia - Science
2015-03-08 06:45:00,"::: ekapija - (Nominacija za nagradu AUREA 2013): ""Jugo-Impex E.E.R""",srp,http://www.ekapija.com/website/sr/page/694680/Nominacija-za-nagradu-AUREA-2013-Jugo-Impex-E-E-R-Postrojenje-za-recikla%C5%BEu,"::: eKapija - (Nomination for aurea 2013): ""Jugo-Impex E.E.R"""
2015-03-09 07:00:00,Solar Impulse 2 a décollé d'Abou Dhabi pour un tour du monde historique,fra,http://www.leparisien.fr/high-tech/l-avion-solar-impulse-2-a-decolle-d-abou-dhabi-09-03-2015-4587945.php,Solar Impulse 2 took off from Abu Dhabi for a historic tour of the world
2015-03-09 17:30:00,"Farrell: Haga como los Rockefellers, venda grandes petroleras - Iberonews - Estrategias de Inversión - 09/03/2015",spa,http://iberonews.com/not_detei.php?lang=es&notid=11010,"Farrell: Do like the Rockefellers, sell large oil companies - Iberonews - Investment Strategies - 03/09/2015"
2015-03-10 09:30:00,20 minutes - Solar Impulse 2 s'envole pour l'Inde,fra,http://www.20min.ch/ro/news/monde/story/Solar-Impulse-s-envole-pour-l-Inde-18185175,20 minutes - Solar Impulse 2 fly away for India
